ROTA;DIREÇÃO;TURNO;CAPACIDADE;ALOCADOS
ROTA 10 - 2T ESPECIAL TV IDA;Ida;2T Especial;22;29
ROTA 10 - 2T ESPECIAL TV VOLTA;Volta;2T Especial;22;29
ROTA 10 - 2T ESPECIAL XX P2 IDA;Ida;2T ESPECIAL P2;32;29
ROTA 10 - 2T ESPECIAL XX P2 VOLTA;Volta;2T ESPECIAL P2;32;29
ROTA 10 - 2T NORMAL JC IDA;Ida;2T Normal LSL;44;30
ROTA 10 - 2T NORMAL JC VOLTA;Volta;2T Normal LSL;44;30
ROTA 10 - 2T NORMAL LSL XX P2 IDA;Ida;2T NORMAL LSL P2;22;14
ROTA 10 - 2T NORMAL LSL XX P2 VOLTA;Volta;2T NORMAL LSL P2;22;14
ROTA 10 - 2T NORMAL VC IDA;Ida;2T Normal;32;23
ROTA 10 - 2T NORMAL VC VOLTA;Volta;2T Normal;32;23
ROTA 10 - 2T NORMAL XX P2 IDA;Ida;2T NORMAL P2;22;17
ROTA 10 - 2T NORMAL XX P2 VOLTA;Volta;2T NORMAL P2;32;17
ROTA 103 - 2T NORMAL XX P7 IDA;Ida;2T NORMAL P7;22;18
ROTA 103 - 2T NORMAL XX P7 VOLTA;Volta;2T NORMAL P7;22;18
ROTA 103 - ADM VC IDA;Ida;ADM;44;28
ROTA 10 - 3T ESPECIAL ED IDA;Ida;3T Especial;32;31
ROTA 10 - 3T ESPECIAL ED VOLTA;Volta;3T Especial;32;33
ROTA 10 - 3T ESPECIAL XX P2 IDA;Ida;3T ESPECIAL P2;32;24
ROTA 10 - 3T ESPECIAL XX P2 VOLTA;Volta;3T ESPECIAL P2;32;25
ROTA 104 - 2T NORMAL XX P7 IDA;Ida;2T NORMAL P7;22;11
ROTA 104 - 2T NORMAL XX P7 VOLTA;Volta;2T NORMAL P7;22;10
ROTA 104 - ADM VC IDA;Ida;ADM;44;39
ROTA 105 - 2T NORMAL XX P7 IDA;Ida;2T NORMAL P7;32;22
ROTA 105 - 2T NORMAL XX P7 VOLTA;Volta;2T NORMAL P7;32;22
ROTA 105 - ADM VC IDA;Ida;ADM;44;40
ROTA 106 - 2T NORMAL XX P7 IDA;Ida;2T NORMAL P7;32;27
ROTA 106 - 2T NORMAL XX P7 VOLTA;Volta;2T NORMAL P7;32;27
ROTA 106 - ADM VC IDA;Ida;ADM;48;39
ROTA 107 - 2T NORMAL XX P7 IDA;Ida;2T NORMAL P7;22;18
ROTA 107 - 2T NORMAL XX P7 VOLTA;Volta;2T NORMAL P7;22;15
ROTA 107 - ADM VC IDA;Ida;ADM;44;50
ROTA 108 - 2T NORMAL XX P7 IDA;Ida;2T NORMAL P7;22;18
ROTA 108 - 2T NORMAL XX P7 VOLTA;Volta;2T NORMAL P7;22;17
ROTA 108 - ADM VC IDA;Ida;ADM;15;16
ROTA 109 - 2T NORMAL XX P7 IDA;Ida;2T NORMAL P7;22;20
ROTA 109 - 2T NORMAL XX P7 VOLTA;Volta;2T NORMAL P7;22;18
ROTA 109 - ADM TM IDA;Ida;ADM;32;28
ROTA 10 - ADM JC IDA;Ida;ADM LSL;44;51
ROTA 10 - ADM JC VOLTA;Volta;ADM LSL;44;48
ROTA 10 - ADM LSL XX P2 IDA;Ida;ADM LSL P2;22;12
ROTA 10 - ADM LSL XX P2 VOLTA;Volta;ADM LSL P2;22;12
ROTA 10 - ADM VC IDA;Ida;ADM;44;41
ROTA 10 - ADM VC VOLTA;Volta;ADM;44;39
ROTA 10 - ADM XX P2 IDA;Ida;ADM P2;44;25
ROTA 10 - ADM XX P2 VOLTA;Volta;ADM P2;32;39
ROTA 10 - APRENDIZ TV VOLTA;Volta;Aprendiz;22;12
ROTA 10 - APRENDIZ VC IDA;Ida;Aprendiz;15;9
ROTA 10 - CRECHE ADM ED IDA;Ida;Creche ADM;22;5
ROTA 10 - CRECHE ADM ED VOLTA;Volta;Creche ADM;22;9
ROTA 110 - 2T NORMAL XX P7 IDA;Ida;2T NORMAL P7;22;19
ROTA 110 - 2T NORMAL XX P7 VOLTA;Volta;2T NORMAL P7;22;19
ROTA 110 - ADM VC IDA;Ida;ADM;44;34
ROTA 111 - 2T NORMAL XX P7 IDA;Ida;2T NORMAL P7;22;17
ROTA 111 - 2T NORMAL XX P7 VOLTA;Volta;2T NORMAL P7;22;17
ROTA 111 - ADM VC IDA;Ida;ADM;32;34
ROTA 11 - 1T ESPECIAL VC IDA;Ida;1T Especial;32;31
ROTA 11 - 1T ESPECIAL VC VOLTA;Volta;1T Especial;32;52
ROTA 11 - 1T ESPECIAL XX P2 IDA;Ida;1T ESPECIAL P2;22;15
ROTA 11 - 1T ESPECIAL XX P2 VOLTA;Volta;1T ESPECIAL P2;22;15
ROTA 112 - 2T NORMAL XX P7 IDA;Ida;2T NORMAL P7;32;22
ROTA 112 - 2T NORMAL XX P7 VOLTA;Volta;2T NORMAL P7;32;22
ROTA 112 - ADM TM IDA;Ida;ADM;32;31
ROTA 11 - 2T ESPECIAL TV IDA;Ida;2T Especial;32;34
ROTA 11 - 2T ESPECIAL TV VOLTA;Volta;2T Especial;32;35
ROTA 11 - 2T ESPECIAL XX P2 IDA;Ida;2T ESPECIAL P2;32;22
ROTA 11 - 2T ESPECIAL XX P2 VOLTA;Volta;2T ESPECIAL P2;32;22
ROTA 11 - 2T NORMAL JC IDA;Ida;2T Normal LSL;31;29
ROTA 11 - 2T NORMAL JC VOLTA;Volta;2T Normal LSL;31;28
ROTA 11 - 2T NORMAL LSL XX P2 IDA;Ida;2T NORMAL LSL P2;32;28
ROTA 11 - 2T NORMAL LSL XX P2 VOLTA;Volta;2T NORMAL LSL P2;32;28
ROTA 11 - 2T NORMAL VC IDA;Ida;2T Normal;32;35
ROTA 11 - 2T NORMAL VC VOLTA;Volta;2T Normal;32;34
ROTA 11 - 2T NORMAL XX P2 IDA;Ida;2T NORMAL P2;22;15
ROTA 11 - 2T NORMAL XX P2 VOLTA;Volta;2T NORMAL P2;32;15
ROTA 113 - 2T NORMAL XX P7 IDA;Ida;2T NORMAL P7;15;13
ROTA 113 - 2T NORMAL XX P7 VOLTA;Volta;2T NORMAL P7;15;13
ROTA 113 - ADM VC IDA;Ida;ADM;44;39
ROTA 11 - 3T ESPECIAL TV IDA;Ida;3T Especial;22;22
ROTA 11 - 3T ESPECIAL TV VOLTA;Volta;3T Especial;22;21
ROTA 11 - 3T ESPECIAL XX P2 IDA;Ida;3T ESPECIAL P2;32;24
ROTA 11 - 3T ESPECIAL XX P2 VOLTA;Volta;3T ESPECIAL P2;32;25
ROTA 114 - 2T NORMAL XX P7 IDA;Ida;2T NORMAL P7;22;18
ROTA 114 - 2T NORMAL XX P7 VOLTA;Volta;2T NORMAL P7;22;18
ROTA 114 - ADM ED IDA;Ida;ADM;22;19
ROTA 115 - 2T NORMAL XX P7 IDA;Ida;2T NORMAL P7;22;18
ROTA 115 - 2T NORMAL XX P7 VOLTA;Volta;2T NORMAL P7;22;18
ROTA 115 - ADM TV IDA;Ida;ADM;32;34
ROTA 116 - 2T NORMAL XX P7 IDA;Ida;2T NORMAL P7;32;27
ROTA 116 - 2T NORMAL XX P7 VOLTA;Volta;2T NORMAL P7;32;26
ROTA 116 - ADM TM IDA;Ida;ADM;32;30
ROTA 117 - 2T NORMAL XX P7 IDA;Ida;2T NORMAL P7;22;19
ROTA 117 - 2T NORMAL XX P7 VOLTA;Volta;2T NORMAL P7;22;19
ROTA 117 - ADM VC IDA;Ida;ADM;44;38
ROTA 118 - 2T NORMAL XX P7 IDA;Ida;2T NORMAL P7;22;20
ROTA 118 - 2T NORMAL XX P7 VOLTA;Volta;2T NORMAL P7;22;20
ROTA 118 - ADM TV IDA;Ida;ADM;22;17
ROTA 119 - 2T NORMAL XX P7 IDA;Ida;2T NORMAL P7;22;14
ROTA 119 - 2T NORMAL XX P7 VOLTA;Volta;2T NORMAL P7;22;14
ROTA 119 - ADM VC IDA;Ida;ADM;32;25
ROTA 11 - ADM JC IDA;Ida;ADM LSL;31;29
ROTA 11 - ADM JC VOLTA;Volta;ADM LSL;31;24
ROTA 11 - ADM LSL XX P2 IDA;Ida;ADM LSL P2;32;16
ROTA 11 - ADM LSL XX P2 VOLTA;Volta;ADM LSL P2;32;16
ROTA 11 - ADM VC IDA;Ida;ADM;44;41
ROTA 11 - ADM VC VOLTA;Volta;ADM;44;33
ROTA 11 - ADM XX P2 IDA;Ida;ADM P2;32;15
ROTA 11 - ADM XX P2 VOLTA;Volta;ADM P2;32;18
ROTA 11 - APRENDIZ ED IDA;Ida;Aprendiz;22;12
ROTA 11 - APRENDIZ TV VOLTA;Volta;Aprendiz;15;14
ROTA 11 - CRECHE ADM ED IDA;Ida;Creche ADM;22;5
ROTA 11 - CRECHE ADM ED VOLTA;Volta;Creche ADM;22;5
ROTA 120 - 2T NORMAL XX P7 IDA;Ida;2T NORMAL P7;22;13
ROTA 120 - 2T NORMAL XX P7 VOLTA;Volta;2T NORMAL P7;22;13
ROTA 120 - ADM TM IDA;Ida;ADM;32;27
ROTA 121 - 2T NORMAL XX P7 IDA;Ida;2T NORMAL P7;22;15
ROTA 121 - 2T NORMAL XX P7 VOLTA;Volta;2T NORMAL P7;22;16
ROTA 121 - ADM TV IDA;Ida;ADM;15;13
ROTA 12 - 1T ESPECIAL ED IDA;Ida;1T Especial;32;27
ROTA 12 - 1T ESPECIAL ED VOLTA;Volta;1T Especial;32;40
ROTA 12 - 1T ESPECIAL XX P2 IDA;Ida;1T ESPECIAL P2;22;19
ROTA 12 - 1T ESPECIAL XX P2 VOLTA;Volta;1T ESPECIAL P2;22;19
ROTA 122 - 2T NORMAL XX P7 IDA;Ida;2T NORMAL P7;32;31
ROTA 122 - 2T NORMAL XX P7 VOLTA;Volta;2T NORMAL P7;32;32
ROTA 12 - 2T ESPECIAL TV IDA;Ida;2T Especial;32;35
ROTA 12 - 2T ESPECIAL TV VOLTA;Volta;2T Especial;32;35
ROTA 12 - 2T ESPECIAL XX P2 IDA;Ida;2T ESPECIAL P2;22;13
ROTA 12 - 2T ESPECIAL XX P2 VOLTA;Volta;2T ESPECIAL P2;22;13
ROTA 12 - 2T NORMAL JC IDA;Ida;2T Normal LSL;31;22
ROTA 12 - 2T NORMAL JC VOLTA;Volta;2T Normal LSL;31;23
ROTA 12 - 2T NORMAL VC IDA;Ida;2T Normal;32;31
ROTA 12 - 2T NORMAL VC VOLTA;Volta;2T Normal;32;31
ROTA 12 - 2T NORMAL XX P2 IDA;Ida;2T NORMAL P2;22;17
ROTA 12 - 2T NORMAL XX P2 VOLTA;Volta;2T NORMAL P2;32;17
ROTA 123 - 2T NORMAL XX P7 IDA;Ida;2T NORMAL P7;32;23
ROTA 123 - 2T NORMAL XX P7 VOLTA;Volta;2T NORMAL P7;32;23
ROTA 12 - 3T ESPECIAL TV IDA;Ida;3T Especial;32;35
ROTA 12 - 3T ESPECIAL TV VOLTA;Volta;3T Especial;32;36
ROTA 12 - 3T ESPECIAL XX P2 IDA;Ida;3T ESPECIAL P2;22;20
ROTA 12 - 3T ESPECIAL XX P2 VOLTA;Volta;3T ESPECIAL P2;22;20
ROTA 124 - 2T NORMAL XX P7 IDA;Ida;2T NORMAL P7;32;24
ROTA 124 - 2T NORMAL XX P7 VOLTA;Volta;2T NORMAL P7;32;24
ROTA 125 - 2T NORMAL XX P7 IDA;Ida;2T NORMAL P7;22;14
ROTA 125 - 2T NORMAL XX P7 VOLTA;Volta;2T NORMAL P7;22;15
ROTA 126 - 2T NORMAL XX P7 IDA;Ida;2T NORMAL P7;22;19
ROTA 126 - 2T NORMAL XX P7 VOLTA;Volta;2T NORMAL P7;22;19
ROTA 127 - 2T NORMAL XX P7 IDA;Ida;2T NORMAL P7;32;26
ROTA 127 - 2T NORMAL XX P7 VOLTA;Volta;2T NORMAL P7;32;19
ROTA 128 - 2T NORMAL XX P7 IDA;Ida;2T NORMAL P7;22;17
ROTA 128 - 2T NORMAL XX P7 VOLTA;Volta;2T NORMAL P7;22;16
ROTA 129 - 2T NORMAL XX P7 IDA;Ida;2T NORMAL P7;32;24
ROTA 129 - 2T NORMAL XX P7 VOLTA;Volta;2T NORMAL P7;32;24
ROTA 12 - ADM JC IDA;Ida;ADM LSL;44;40
ROTA 12 - ADM JC VOLTA;Volta;ADM LSL;44;35
ROTA 12 - ADM LSL XX P2 IDA;Ida;ADM LSL P2;22;13
ROTA 12 - ADM LSL XX P2 VOLTA;Volta;ADM LSL P2;22;13
ROTA 12 - ADM TV VOLTA;Volta;ADM;32;29
ROTA 12 - ADM VC IDA;Ida;ADM;44;41
ROTA 12 - ADM XX P2 IDA;Ida;ADM P2;32;30
ROTA 12 - ADM XX P2 VOLTA;Volta;ADM P2;32;22
ROTA 12 - APRENDIZ ED IDA;Ida;Aprendiz;22;18
ROTA 12 - APRENDIZ TV VOLTA;Volta;Aprendiz;15;13
ROTA 12 - CRECHE ADM ED VOLTA;Volta;Creche ADM;22;7
ROTA 12 - CRECHE ADM VC IDA;Ida;Creche ADM;15;7
ROTA 130 - 2T NORMAL XX P7 IDA;Ida;2T NORMAL P7;22;17
ROTA 130 - 2T NORMAL XX P7 VOLTA;Volta;2T NORMAL P7;22;17
ROTA 131 - 2T NORMAL XX P7 IDA;Ida;2T NORMAL P7;32;22
ROTA 131 - 2T NORMAL XX P7 VOLTA;Volta;2T NORMAL P7;32;21
ROTA 13 - 1T ESPECIAL TV IDA;Ida;1T Especial;32;33
ROTA 13 - 1T ESPECIAL TV VOLTA;Volta;1T Especial;32;49
ROTA 13 - 1T ESPECIAL XX P2 IDA;Ida;1T ESPECIAL P2;22;10
ROTA 13 - 1T ESPECIAL XX P2 VOLTA;Volta;1T ESPECIAL P2;22;10
ROTA 132 - 2T NORMAL XX P7 IDA;Ida;2T NORMAL P7;22;18
ROTA 132 - 2T NORMAL XX P7 VOLTA;Volta;2T NORMAL P7;22;18
ROTA 13 - 2T ESPECIAL TM IDA;Ida;2T Especial;32;28
ROTA 13 - 2T ESPECIAL TM VOLTA;Volta;2T Especial;32;29
ROTA 13 - 2T ESPECIAL XX P2 IDA;Ida;2T ESPECIAL P2;22;17
ROTA 13 - 2T ESPECIAL XX P2 VOLTA;Volta;2T ESPECIAL P2;22;17
ROTA 13 - 2T NORMAL JC IDA;Ida;2T Normal LSL;31;26
ROTA 13 - 2T NORMAL JC VOLTA;Volta;2T Normal LSL;31;26
ROTA 13 - 2T NORMAL VC IDA;Ida;2T Normal;32;35
ROTA 13 - 2T NORMAL VC VOLTA;Volta;2T Normal;32;35
ROTA 13 - 2T NORMAL XX P2 IDA;Ida;2T NORMAL P2;22;10
ROTA 13 - 2T NORMAL XX P2 VOLTA;Volta;2T NORMAL P2;32;10
ROTA 133 - 2T NORMAL XX P7 IDA;Ida;2T NORMAL P7;22;21
ROTA 133 - 2T NORMAL XX P7 VOLTA;Volta;2T NORMAL P7;22;21
ROTA 13 - 3T ESPECIAL TV IDA;Ida;3T Especial;22;36
ROTA 13 - 3T ESPECIAL TV VOLTA;Volta;3T Especial;22;36
ROTA 13 - 3T ESPECIAL XX P2 IDA;Ida;3T ESPECIAL P2;32;27
ROTA 13 - 3T ESPECIAL XX P2 VOLTA;Volta;3T ESPECIAL P2;32;27
ROTA 134 - 2T NORMAL XX P7 IDA;Ida;2T NORMAL P7;22;20
ROTA 134 - 2T NORMAL XX P7 VOLTA;Volta;2T NORMAL P7;22;20
ROTA 135 - 2T NORMAL XX P7 IDA;Ida;2T NORMAL P7;22;12
ROTA 135 - 2T NORMAL XX P7 VOLTA;Volta;2T NORMAL P7;22;12
ROTA 136 - 2T NORMAL XX P7 IDA;Ida;2T NORMAL P7;22;19
ROTA 136 - 2T NORMAL XX P7 VOLTA;Volta;2T NORMAL P7;22;20
ROTA 137 - 2T NORMAL XX P7 IDA;Ida;2T NORMAL P7;22;13
ROTA 137 - 2T NORMAL XX P7 VOLTA;Volta;2T NORMAL P7;22;13
ROTA 138 - 2T NORMAL XX P7 IDA;Ida;2T NORMAL P7;15;12
ROTA 138 - 2T NORMAL XX P7 VOLTA;Volta;2T NORMAL P7;15;11
ROTA 13 - ADM JC IDA;Ida;ADM LSL;44;42
ROTA 13 - ADM JC VOLTA;Volta;ADM LSL;44;38
ROTA 13 - ADM LSL XX P2 IDA;Ida;ADM LSL P2;32;19
ROTA 13 - ADM LSL XX P2 VOLTA;Volta;ADM LSL P2;32;19
ROTA 13 - ADM TM VOLTA;Volta;ADM;44;37
ROTA 13 - ADM VC IDA;Ida;ADM;44;44
ROTA 13 - ADM XX P2 IDA;Ida;ADM P2;32;21
ROTA 13 - ADM XX P2 VOLTA;Volta;ADM P2;32;35
ROTA 13 - APRENDIZ ED IDA;Ida;Aprendiz;22;11
ROTA 13 - CRECHE ADM VC IDA;Ida;Creche ADM;32;10
ROTA 13 - CRECHE ADM VC VOLTA;Volta;Creche ADM;15;4
ROTA 14 - 1T ESPECIAL TV IDA;Ida;1T Especial;22;12
ROTA 14 - 1T ESPECIAL TV VOLTA;Volta;1T Especial;22;27
ROTA 14 - 1T ESPECIAL XX P2 IDA;Ida;1T ESPECIAL P2;32;21
ROTA 14 - 1T ESPECIAL XX P2 VOLTA;Volta;1T ESPECIAL P2;32;21
ROTA 14 - 2T ESPECIAL TV IDA;Ida;2T Especial;32;28
ROTA 14 - 2T ESPECIAL TV VOLTA;Volta;2T Especial;32;28
ROTA 14 - 2T ESPECIAL XX P2 IDA;Ida;2T ESPECIAL P2;22;15
ROTA 14 - 2T ESPECIAL XX P2 VOLTA;Volta;2T ESPECIAL P2;22;15
ROTA 14 - 2T NORMAL JC IDA;Ida;2T Normal LSL;31;28
ROTA 14 - 2T NORMAL JC VOLTA;Volta;2T Normal LSL;31;28
ROTA 14 - 2T NORMAL VC IDA;Ida;2T Normal;32;33
ROTA 14 - 2T NORMAL VC VOLTA;Volta;2T Normal;32;33
ROTA 14 - 2T NORMAL XX P2 IDA;Ida;2T NORMAL P2;22;14
ROTA 14 - 2T NORMAL XX P2 VOLTA;Volta;2T NORMAL P2;32;14
ROTA 14 - 3T ESPECIAL TV IDA;Ida;3T Especial;22;25
ROTA 14 - 3T ESPECIAL TV VOLTA;Volta;3T Especial;22;24
ROTA 14 - 3T ESPECIAL XX P2 IDA;Ida;3T ESPECIAL P2;32;21
ROTA 14 - 3T ESPECIAL XX P2 VOLTA;Volta;3T ESPECIAL P2;32;21
ROTA 14 - ADM JC IDA;Ida;ADM LSL;44;45
ROTA 14 - ADM JC VOLTA;Volta;ADM LSL;44;44
ROTA 14 - ADM LSL XX P2 IDA;Ida;ADM LSL P2;32;19
ROTA 14 - ADM LSL XX P2 VOLTA;Volta;ADM LSL P2;32;19
ROTA 14 - ADM VC IDA;Ida;ADM;44;46
ROTA 14 - ADM VC VOLTA;Volta;ADM;44;26
ROTA 14 - ADM XX P2 IDA;Ida;ADM P2;32;29
ROTA 14 - ADM XX P2 VOLTA;Volta;ADM P2;32;29
ROTA 14 - CRECHE ADM TV IDA;Ida;Creche ADM;22;11
ROTA 14 - CRECHE ADM TV VOLTA;Volta;Creche ADM;15;8
ROTA 151 - ADM XX P7 IDA;Ida;ADM P7;44;37
ROTA 151 - ADM XX P7 VOLTA;Volta;ADM P7;32;23
ROTA 15 - 1T ESPECIAL TV IDA;Ida;1T Especial;32;28
ROTA 15 - 1T ESPECIAL TV VOLTA;Volta;1T Especial;32;38
ROTA 15 - 1T ESPECIAL XX P2 IDA;Ida;1T ESPECIAL P2;32;29
ROTA 15 - 1T ESPECIAL XX P2 VOLTA;Volta;1T ESPECIAL P2;32;29
ROTA 152 - ADM XX P7 IDA;Ida;ADM P7;44;33
ROTA 152 - ADM XX P7 VOLTA;Volta;ADM P7;22;17
ROTA 15 - 2T ESPECIAL TM IDA;Ida;2T Especial;32;32
ROTA 15 - 2T ESPECIAL TM VOLTA;Volta;2T Especial;32;31
ROTA 15 - 2T ESPECIAL XX P2 IDA;Ida;2T ESPECIAL P2;32;22
ROTA 15 - 2T ESPECIAL XX P2 VOLTA;Volta;2T ESPECIAL P2;32;22
ROTA 15 - 2T NORMAL JC IDA;Ida;2T Normal LSL;22;14
ROTA 15 - 2T NORMAL JC VOLTA;Volta;2T Normal LSL;22;15
ROTA 15 - 2T NORMAL TV IDA;Ida;2T Normal;32;30
ROTA 15 - 2T NORMAL TV VOLTA;Volta;2T Normal;32;30
ROTA 15 - 2T NORMAL XX P2 IDA;Ida;2T NORMAL P2;32;30
ROTA 15 - 2T NORMAL XX P2 VOLTA;Volta;2T NORMAL P2;32;30
ROTA 153 - ADM XX P7 IDA;Ida;ADM P7;22;21
ROTA 153 - ADM XX P7 VOLTA;Volta;ADM P7;22;15
ROTA 15 - 3T ESPECIAL TV IDA;Ida;3T Especial;32;30
ROTA 15 - 3T ESPECIAL TV VOLTA;Volta;3T Especial;32;30
ROTA 15 - 3T ESPECIAL XX P2 IDA;Ida;3T ESPECIAL P2;32;22
ROTA 15 - 3T ESPECIAL XX P2 VOLTA;Volta;3T ESPECIAL P2;32;22
ROTA 154 - ADM XX P7 IDA;Ida;ADM P7;32;28
ROTA 154 - ADM XX P7 VOLTA;Volta;ADM P7;22;16
ROTA 155 - ADM XX P7 IDA;Ida;ADM P7;44;16
ROTA 155 - ADM XX P7 VOLTA;Volta;ADM P7;22;20
ROTA 156 - ADM XX P7 VOLTA;Volta;ADM P7;32;0
ROTA 157 - ADM XX P7 IDA;Ida;ADM P7;32;30
ROTA 157 - ADM XX P7 VOLTA;Volta;ADM P7;22;12
ROTA 158 - ADM XX P7 IDA;Ida;ADM P7;44;41
ROTA 158 - ADM XX P7 VOLTA;Volta;ADM P7;22;15
ROTA 159 - ADM XX P7 IDA;Ida;ADM P7;32;21
ROTA 159 - ADM XX P7 VOLTA;Volta;ADM P7;22;20
ROTA 15 - ADM JC IDA;Ida;ADM LSL;31;33
ROTA 15 - ADM JC VOLTA;Volta;ADM LSL;31;31
ROTA 15 - ADM LSL XX P2 IDA;Ida;ADM LSL P2;44;32
ROTA 15 - ADM LSL XX P2 VOLTA;Volta;ADM LSL P2;44;32
ROTA 15 - ADM TM VOLTA;Volta;ADM;44;39
ROTA 15 - ADM VC IDA;Ida;ADM;44;28
ROTA 15 - ADM XX P2 IDA;Ida;ADM P2;22;38
ROTA 15 - ADM XX P2 VOLTA;Volta;ADM P2;32;17
ROTA 15 - CRECHE ADM VC IDA;Ida;Creche ADM;15;3
ROTA 15 - CRECHE ADM VC VOLTA;Volta;Creche ADM;15;5
ROTA 160 - ADM XX P7 IDA;Ida;ADM P7;32;24
ROTA 160 - ADM XX P7 VOLTA;Volta;ADM P7;32;22
ROTA 161 - ADM XX P7 IDA;Ida;ADM P7;44;34
ROTA 161 - ADM XX P7 VOLTA;Volta;ADM P7;22;10
ROTA 16 - 1T ESPECIAL ED IDA;Ida;1T Especial;22;16
ROTA 16 - 1T ESPECIAL ED VOLTA;Volta;1T Especial;22;31
ROTA 16 - 1T ESPECIAL XX P2 IDA;Ida;1T ESPECIAL P2;32;28
ROTA 16 - 1T ESPECIAL XX P2 VOLTA;Volta;1T ESPECIAL P2;32;28
ROTA 162 - ADM XX P7 IDA;Ida;ADM P7;32;21
ROTA 162 - ADM XX P7 VOLTA;Volta;ADM P7;32;20
ROTA 16 - 2T ESPECIAL TV IDA;Ida;2T Especial;32;28
ROTA 16 - 2T ESPECIAL TV VOLTA;Volta;2T Especial;32;28
ROTA 16 - 2T ESPECIAL XX P2 IDA;Ida;2T ESPECIAL P2;32;23
ROTA 16 - 2T ESPECIAL XX P2 VOLTA;Volta;2T ESPECIAL P2;32;23
ROTA 16 - 2T NORMAL JC IDA;Ida;2T Normal LSL;32;20
ROTA 16 - 2T NORMAL JC VOLTA;Volta;2T Normal LSL;32;21
ROTA 16 - 2T NORMAL TV IDA;Ida;2T Normal;32;31
ROTA 16 - 2T NORMAL TV VOLTA;Volta;2T Normal;32;32
ROTA 16 - 2T NORMAL XX P2 IDA;Ida;2T NORMAL P2;32;29
ROTA 16 - 2T NORMAL XX P2 VOLTA;Volta;2T NORMAL P2;32;29
ROTA 163 - ADM XX P7 IDA;Ida;ADM P7;22;19
ROTA 163 - ADM XX P7 VOLTA;Volta;ADM P7;32;27
ROTA 16 - 3T ESPECIAL TV IDA;Ida;3T Especial;32;34
ROTA 16 - 3T ESPECIAL TV VOLTA;Volta;3T Especial;32;31
ROTA 16 - 3T ESPECIAL XX P2 IDA;Ida;3T ESPECIAL P2;32;22
ROTA 16 - 3T ESPECIAL XX P2 VOLTA;Volta;3T ESPECIAL P2;32;22
ROTA 164 - ADM XX P7 IDA;Ida;ADM P7;44;34
ROTA 164 - ADM XX P7 VOLTA;Volta;ADM P7;22;19
ROTA 165 - ADM XX P7 IDA;Ida;ADM P7;32;32
ROTA 165 - ADM XX P7 VOLTA;Volta;ADM P7;32;30
ROTA 166 - ADM XX P7 IDA;Ida;ADM P7;44;35
ROTA 166 - ADM XX P7 VOLTA;Volta;ADM P7;32;28
ROTA 167 - ADM XX P7 IDA;Ida;ADM P7;32;30
ROTA 167 - ADM XX P7 VOLTA;Volta;ADM P7;32;23
ROTA 168 - ADM XX P7 IDA;Ida;ADM P7;32;18
ROTA 168 - ADM XX P7 VOLTA;Volta;ADM P7;44;29
ROTA 169 - ADM XX P7 IDA;Ida;ADM P7;44;34
ROTA 169 - ADM XX P7 VOLTA;Volta;ADM P7;32;29
ROTA 16 - ADM ED IDA;Ida;ADM;32;32
ROTA 16 - ADM JC IDA;Ida;ADM LSL;44;34
ROTA 16 - ADM JC VOLTA;Volta;ADM LSL;32;30
ROTA 16 - ADM LSL XX P2 IDA;Ida;ADM LSL P2;32;11
ROTA 16 - ADM LSL XX P2 VOLTA;Volta;ADM LSL P2;22;11
ROTA 16 - ADM VC VOLTA;Volta;ADM;44;30
ROTA 16 - ADM XX P2 IDA;Ida;ADM P2;32;26
ROTA 16 - ADM XX P2 VOLTA;Volta;ADM P2;32;0
ROTA 16 - CRECHE ADM VC IDA;Ida;Creche ADM;15;6
ROTA 16 - CRECHE ADM VC VOLTA;Volta;Creche ADM;22;6
ROTA 170 - ADM XX P7 IDA;Ida;ADM P7;44;41
ROTA 170 - ADM XX P7 VOLTA;Volta;ADM P7;22;19
ROTA 171 - ADM XX P7 IDA;Ida;ADM P7;44;35
ROTA 171 - ADM XX P7 VOLTA;Volta;ADM P7;22;15
ROTA 17 - 1T ESPECIAL TV IDA;Ida;1T Especial;32;27
ROTA 17 - 1T ESPECIAL TV VOLTA;Volta;1T Especial;32;35
ROTA 17 - 1T ESPECIAL XX P2 IDA;Ida;1T ESPECIAL P2;32;26
ROTA 17 - 1T ESPECIAL XX P2 VOLTA;Volta;1T ESPECIAL P2;32;26
ROTA 172 - ADM XX P7 IDA;Ida;ADM P7;32;26
ROTA 172 - ADM XX P7 VOLTA;Volta;ADM P7;44;31
ROTA 17 - 2T ESPECIAL TV IDA;Ida;2T Especial;32;34
ROTA 17 - 2T ESPECIAL TV VOLTA;Volta;2T Especial;32;34
ROTA 17 - 2T ESPECIAL XX P2 IDA;Ida;2T ESPECIAL P2;32;24
ROTA 17 - 2T ESPECIAL XX P2 VOLTA;Volta;2T ESPECIAL P2;32;24
ROTA 17 - 2T NORMAL JC IDA;Ida;2T Normal LSL;32;23
ROTA 17 - 2T NORMAL JC VOLTA;Volta;2T Normal LSL;32;26
ROTA 17 - 2T NORMAL TV IDA;Ida;2T Normal;32;30
ROTA 17 - 2T NORMAL TV VOLTA;Volta;2T Normal;32;30
ROTA 17 - 2T NORMAL XX P2 IDA;Ida;2T NORMAL P2;32;29
ROTA 17 - 2T NORMAL XX P2 VOLTA;Volta;2T NORMAL P2;32;29
ROTA 173 - ADM XX P7 IDA;Ida;ADM P7;32;23
